playerID,name,position,leagueID
716,Alberto Paloschi,FW,Serie A
584,Joel Robles,GK,La Liga
576,Mario Suárez,MC,La Liga
1054,Bersant Celina,AMC,Ligue 1
861,Giannelli Imbula,DMC,Ligue 1
1059,Hiram Boateng,Sub,Premier League
538,Emmanuel Emenike,Sub,Premier League
1048,Donald Love,Sub,Premier League
1047,Will Keane,FW,Premier League
869,Dionatan Teixeira,Sub,Premier League
776,Seydou Doumbia,Sub,La Liga
501,Danny Welbeck,Sub,Premier League
673,Jordan Lyden,Sub,Premier League
479,Kevin Stewart,Sub,Premier League
759,Daniel Amartey,Sub,Premier League
711,Leroy Fer,MC,Premier League
556,Marcus Rashford,FW,Premier League
556,Marcus Rashford,AML,Premier League
549,Timothy Fosu-Mensah,DR,Premier League
562,James Weir,Sub,Premier League
496,Mohamed Elneny,DMC,Premier League
599,Oumar Niasse,FW,Premier League
892,Stephen Kingsley,DL,Premier League
896,Jay Fulton,Sub,Premier League
490,Jon Flanagan,DR,Premier League
505,David Ospina,GK,Serie A
906,Manu García,AMC,Ligue 1
893,Sébastien Pocognoli,DL,Premier League
874,Andre Green,Sub,Premier League
478,Sheyi Ojo,Sub,Ligue 1
683,Matt Miazga,DC,Ligue 1
693,Jake Clarke-Salter,Sub,Premier League
691,Alexandre Pato,FW,La Liga
870,Jakob Haugaard,GK,Premier League
879,Jonathan Leko,Sub,Premier League
1042,Tom Davies,MC,Premier League
1043,Callum Connolly,Sub,Premier League
473,Danny Ward,GK,Premier League
474,Connor Randall,DR,Premier League
889,Shay Given,GK,Premier League
523,Julian Speroni,GK,Premier League
901,Kevin Toner,DC,Premier League
1036,Jack Wilshere,Sub,Premier League
920,Matthew Pennington,DC,Premier League
1031,Tony Hibbert,DR,Premier League
1032,Kieran Dowell,AMR,Premier League
1032,Kieran Dowell,Sub,Premier League
1022,Pedro Chirivella,MC,Ligue 1
1023,Cameron Brannagan,Sub,Premier League
1015,Rushian Hepburn-Murphy,Sub,Premier League
702,Tammy Abraham,FW,Premier League
703,Fikayo Tomori,DC,Serie A
1084,Jonjoe Kenny,DR,Bundesliga
779,Jamie Sterry,Sub,Premier League
1070,Sullay Kaikai,Sub,Premier League
722,Kristoffer Nordfeldt,GK,Premier League
1079,Thomas Robson,DL,Premier League
1080,Rees Greenwood,ML,Premier League
1046,George Honeyman,Sub,Premier League
1014,Tyler Roberts,Sub,Premier League
1013,Sam Field,Sub,Premier League
1078,Sergi Canos,Sub,Premier League
1697,Eldin Jakupovic,GK,Premier League
1685,Ahmed Elmohamady,DR,Premier League
1686,Curtis Davies,DC,Premier League
1689,Jake Livermore,MC,Premier League
1688,Andrew Robertson,DL,Premier League
1695,Tom Huddlestone,MC,Premier League
1693,David Meyler,MC,Premier League
1690,Sam Clucas,MC,Premier League
1691,Robert Snodgrass,MR,Premier League
1698,Abel Hernández,FW,Premier League
1694,Adama Diomande,Sub,Premier League
1680,Luis Hernández,DC,La Liga
1681,Ahmed Musa,Sub,Premier League
1737,Matt Phillips,MR,Premier League
985,Mason Holgate,DC,Premier League
1730,Vincent Janssen,Sub,Premier League
1651,Tom Heaton,GK,Premier League
1652,Matthew Lowton,DR,Premier League
1654,Ben Mee,DC,Premier League
1653,Michael Keane,DC,Premier League
1655,Stephen Ward,DL,Premier League
1656,George Boyd,MR,Premier League
1787,David Jones,MC,Premier League
1658,Dean Marney,MC,Premier League
1659,Scott Arfield,ML,Premier League
1661,Sam Vokes,Sub,Premier League
1660,Andre Gray,FW,Premier League
1663,Johann Berg Gudmundsson,MR,Premier League
1664,Lukas Jutkiewicz,Sub,Premier League
1728,Fernando Llorente,FW,Serie A
1705,Víctor Valdés,GK,Premier League
1757,Nsue,DR,Premier League
1706,Antonio Barragán,DR,La Liga
1707,Ben Gibson,DC,Premier League
1708,George Friend,DL,Premier League
1710,Marten de Roon,MC,Serie A
1717,Adam Clayton,MC,Premier League
1782,Albert Adomah,AMR,Premier League
1782,Albert Adomah,Sub,Premier League
1712,Stewart Downing,AMC,Premier League
1715,Álvaro Negredo,FW,La Liga
1753,David Nugent,Sub,Premier League
1711,Adam Forshaw,MC,Premier League
343,Pierre-Emile Højbjerg,MC,Premier League
1784,Jérémy Pied,DR,Ligue 1
1722,Juan Zuñiga,Sub,Premier League
1732,Nolito,FWL,La Liga
1027,Lynden Gooch,Sub,Premier League
1789,Lewis Cook,MC,Premier League
1739,Eric Bailly,DC,Premier League
1741,Zlatan Ibrahimovic,FW,Ligue 1
317,Henrikh Mkhitaryan,AMC,Serie A
1749,Rob Holding,DC,Premier League
204,Granit Xhaka,DMC,Premier League
265,Ragnar Klavan,DC,Bundesliga
1678,Michy Batshuayi,Sub,Premier League
1760,Arthur Masuaku,DL,Premier League
202,Håvard Nordtveit,DC,Bundesliga
1703,Gökhan Töre,Sub,Premier League
